CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
816	1556	-79.141	0.000	0.8046	0.000	0.000
816	927	-14.470	0.000	0.7901	0.000	0.000
816	1107	-35.620	0.000	0.7853	0.000	0.000
816	1003	-22.099	0.000	0.7749	0.000	0.000
816	1255	-49.829	0.000	0.7625	0.000	0.000
816	2068	-123.443	0.000	0.7497	0.000	0.000
816	1654	-88.575	0.000	0.7461	0.000	0.000
816	1726	-93.644	0.000	0.7141	0.000	0.000
891	1034	-17.132	0.000	0.7426	0.000	0.000
927	1198	-30.133	0.000	0.8962	0.000	0.000
927	1346	-44.525	0.000	0.8247	0.000	0.000
927	1255	-35.359	0.000	0.8226	0.000	0.000
927	2068	-108.973	0.000	0.8099	0.000	0.000
927	1556	-64.671	0.000	0.8021	0.000	0.000
927	1654	-74.105	0.000	0.7818	0.000	0.000
927	1726	-79.174	0.000	0.7766	0.000	0.000
927	1107	-21.150	0.000	0.7737	0.000	0.000
927	1003	-7.629	0.000	0.7454	0.000	0.000
927	1798	-87.585	0.000	0.7302	0.000	0.000
1003	1255	-27.730	0.000	0.8683	0.000	0.000
1003	1107	-13.521	0.000	0.8295	0.000	0.000
1003	1556	-57.042	0.000	0.8242	0.000	0.000
1003	1346	-36.896	0.000	0.8029	0.000	0.000
1003	2068	-101.344	0.000	0.8017	0.000	0.000
1003	1148	-17.046	0.000	0.7831	0.000	0.000
1003	1654	-66.476	0.000	0.7786	0.000	0.000
1003	1198	-22.504	0.000	0.7738	0.000	0.000
1003	1726	-71.545	0.000	0.7482	0.000	0.000
1003	1798	-79.956	0.000	0.7218	0.000	0.000
1003	1433	-45.630	0.000	0.7036	0.000	0.000
1069	1300	-23.533	0.000	0.7455	0.000	0.000
1101	4464	-271.984	0.000	0.7402	0.000	0.000
1107	2068	-87.823	0.000	0.8595	0.000	0.000
1107	1556	-43.521	0.000	0.8478	0.000	0.000
1107	1255	-14.209	0.000	0.8035	0.000	0.000
1107	1198	-8.983	0.000	0.7898	0.000	0.000
1107	1726	-58.024	0.000	0.7891	0.000	0.000
1107	1654	-52.955	0.000	0.7777	0.000	0.000
1107	1346	-23.375	0.000	0.7629	0.000	0.000
1107	2384	-109.779	0.000	0.7462	0.000	0.000
1107	1798	-66.435	0.000	0.7315	0.000	0.000
1148	1300	-14.824	0.000	0.8283	0.000	0.000
1148	1255	-10.684	0.000	0.7575	0.000	0.000
1148	1433	-28.584	0.000	0.7036	0.000	0.000
1148	1346	-19.850	0.000	0.7001	0.000	0.000
1198	1346	-14.392	0.000	0.8580	0.000	0.000
1198	1556	-34.538	0.000	0.8529	0.000	0.000
1198	2068	-78.840	0.000	0.8116	0.000	0.000
1198	1255	-5.226	0.000	0.8081	0.000	0.000
1198	1726	-49.041	0.000	0.7895	0.000	0.000
1198	1654	-43.972	0.000	0.7889	0.000	0.000
1198	2384	-100.796	0.000	0.7620	0.000	0.000
1198	1798	-57.452	0.000	0.7446	0.000	0.000
1255	1726	-43.815	0.000	0.8181	0.000	0.000
1255	1346	-9.166	0.000	0.8127	0.000	0.000
1255	1654	-38.746	0.000	0.8126	0.000	0.000
1255	1556	-29.312	0.000	0.8042	0.000	0.000
1255	1300	-4.140	0.000	0.7929	0.000	0.000
1255	2068	-73.614	0.000	0.7918	0.000	0.000
1255	1798	-52.226	0.000	0.7642	0.000	0.000
1255	1433	-17.900	0.000	0.7444	0.000	0.000
1255	2384	-95.570	0.000	0.7022	0.000	0.000
1300	1346	-5.026	0.000	0.7618	0.000	0.000
1300	1654	-34.606	0.000	0.7328	0.000	0.000
1300	2384	-91.430	0.000	0.7155	0.000	0.000
1302	1988	-63.502	0.000	0.7808	0.000	0.000
1346	1556	-20.146	0.000	0.8304	0.000	0.000
1346	1654	-29.580	0.000	0.8266	0.000	0.000
1346	2068	-64.448	0.000	0.7896	0.000	0.000
1346	1726	-34.649	0.000	0.7864	0.000	0.000
1346	2384	-86.404	0.000	0.7313	0.000	0.000
1346	1798	-43.060	0.000	0.7312	0.000	0.000
1346	1433	-8.734	0.000	0.7112	0.000	0.000
1425	1777	-32.393	0.000	0.7723	0.000	0.000
1425	1582	-16.121	0.000	0.7266	0.000	0.000
1474	1564	-8.550	0.000	0.8838	0.000	0.000
1481	1624	-14.191	0.000	0.8280	0.000	0.000
1556	2068	-44.302	0.000	0.9085	0.000	0.000
1556	1654	-9.434	0.000	0.8127	0.000	0.000
1556	1726	-14.503	0.000	0.7967	0.000	0.000
1556	1798	-22.914	0.000	0.7908	0.000	0.000
1556	2384	-66.258	0.000	0.7804	0.000	0.000
1654	1726	-5.069	0.000	0.7895	0.000	0.000
1654	2068	-34.868	0.000	0.7840	0.000	0.000
1654	1798	-13.480	0.000	0.7649	0.000	0.000
1726	2068	-29.799	0.000	0.7925	0.000	0.000
1726	1798	-8.411	0.000	0.7087	0.000	0.000
1758	1790	-4.554	0.000	0.7155	0.000	0.000
1798	2068	-21.388	0.000	0.7495	0.000	0.000
1976	2043	-4.406	0.000	0.8030	0.000	0.000
2043	2315	-19.140	0.000	0.7116	0.000	0.000
2068	2384	-21.956	0.000	0.7197	0.000	0.000
2102	2174	-6.159	0.000	0.9149	0.000	0.000
2234	4877	-214.985	0.000	0.7516	0.000	0.000
2241	2697	-31.882	0.000	0.7074	0.000	0.000
2299	2881	-42.786	0.000	0.8694	0.000	0.000
2331	2396	-4.852	0.000	0.7518	0.000	0.000
2404	2472	-4.614	0.000	0.7089	0.000	0.000
2524	5883	-332.732	0.000	0.7317	0.000	0.000
2610	2694	-6.315	0.000	0.7530	0.000	0.000
2610	2783	-13.089	0.000	0.7372	0.000	0.000
2771	5329	-227.666	0.000	0.7177	0.000	0.000
2851	2932	-5.849	0.000	0.8069	0.000	0.000
3108	3655	-42.570	0.000	0.7337	0.000	0.000
3187	3254	-5.142	0.000	0.8635	0.000	0.000
3267	5665	-239.714	0.000	0.7234	0.000	0.000
3321	5282	-181.325	0.000	0.7901	0.000	0.000
3321	5280	-181.054	0.000	0.7212	0.000	0.000
3473	3566	-8.369	0.000	0.7231	0.000	0.000
3528	3901	-32.086	0.000	0.7115	0.000	0.000
3624	3701	-6.317	0.000	0.7460	0.000	0.000
3828	3891	-5.273	0.000	0.8770	0.000	0.000
4131	6122	-262.641	0.000	0.7352	0.000	0.000
4145	4224	-6.041	0.000	0.7559	0.000	0.000
4151	4254	-8.173	0.000	0.7947	0.000	0.000
4177	4333	-12.905	0.000	0.7028	0.000	0.000
4307	4373	-5.340	0.000	0.8260	0.000	0.000
4373	4435	-5.663	0.000	0.7033	0.000	0.000
